code;label-de_DE;label-en_US;label-fr_FR;allowed_extensions;auto_option_sorting;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
sku;SKU;SKU;SKU;;;;;;;;logistics;0;;;;;;;;;0;1;pim_catalog_identifier;1;1;;;
name;Name;Name;Nom;;;;;;;;marketing;1;;;;;;;;;0;5;pim_catalog_text;0;1;;;
description;Beschreibung;Description;Description;;;;;;;;marketing;1;;;;;;;;;1;9;pim_catalog_textarea;0;1;;;1
short_description;New site description;New site description;Description nouveau site;;;;;;;;marketing;0;;;;;;;;;0;10;pim_catalog_textarea;0;1;;;
price;Preis;Price;Prix;;;;;;1;;finance;0;;;;;;;;;0;29;pim_catalog_price_collection;0;1;;;
compare_at_price;Preis Compare;Price compare;Prix de comparaison;;;;;;1;;finance;0;;;;;;;;;0;30;pim_catalog_price_collection;0;1;;;
weight;Gewicht;Weight;Poids;;;;;;1;KILOGRAM;logistics;0;;;Weight;;0;;;;0;7;pim_catalog_metric;0;1;;;
inventory_management;Inventory policy;Inventory policy;Politique d'inventaire;;;;;;;;logistics;0;;;;;;;;;0;34;pim_catalog_text;0;1;;;
inventory_policy;Allow customers to order;Allow;Toujours permettre aux clients de commander;;;;;;;;logistics;0;;;;;;;;;0;35;pim_catalog_text;0;1;;;
vendor;Vendor;Vendor;Vendor;;;;;;;;marketing;0;;;;;;;;;0;4;pim_catalog_text;0;1;;;
product_type;Type;Type;Type;;;;;;;;marketing;0;;;;;;;;;0;3;pim_catalog_text;0;1;;;
tags;Tags;Tags;Tags;;;;;;;;marketing;1;;;;;;;;;0;14;pim_catalog_textarea;0;1;;;
barcode;Barcode;Barcode;Barcode;;;;;;;;logistics;0;;;;;;;;;0;2;pim_catalog_text;0;1;;;
slug;Slug;Slug;Slug;;;;;;;;marketing;0;;;;;;;;;0;6;pim_catalog_text;1;1;;;
taxable;Taxable;Taxable;Imposable;;;;;;;;finance;0;;;;;;;;;0;36;pim_catalog_boolean;0;1;;;
fulfillment_service;Fulfillment Service;Fulfillment;Fulfillment Service;;;;;;;;marketing;0;;;;;;;;;0;37;pim_catalog_text;0;1;;;
expiry_date;expiry_date;expiry_date;DLC garantie;;;;;;1;;logistics;0;;;;;0;;;;0;25;pim_catalog_number;0;1;;;
allergen;allergen;allergen;Allergènes;;;;;;;;marketing;0;;;;;;;;;0;19;pim_catalog_textarea;0;1;;;
advice;advice;advice;Conseils;;;;;;;;marketing;0;;;;;;;;;0;13;pim_catalog_textarea;0;1;;;
product_values;product_values;product_values;Valeurs;;;;;;;;marketing;0;;;;;;;;;0;15;pim_catalog_textarea;0;1;;;
nutritional_values;nutritional_values;nutritional_values;Valeurs nutritionnelles;;;;;;;;marketing;0;;;;;;;;;0;17;pim_catalog_textarea;0;1;;;
ingredients;ingredients;ingredients;Ingrédients;;;;;;;;marketing;0;;;;;;;;;0;18;pim_catalog_textarea;0;1;;;
why_this_vendor;why_this_vendor;why_this_vendor;Pourquoi cette marque;;;;;;;;marketing;0;;;;;;;;;0;11;pim_catalog_textarea;0;1;;;
why_this_product;why_this_product;why_this_product;Pourquoi ce produit;;;;;;;;marketing;0;;;;;;;;;0;12;pim_catalog_textarea;0;1;;;
etiquettable_score;etiquettable_score;etiquettable_score;Score Etiquettable;;;;;;0;;marketing;0;;;;;0;;;;0;23;pim_catalog_number;0;1;;;
yuka_score;yuka_score;yuka_score;Score Yuka;;;;;;0;;marketing;0;;;;;0;;;;0;24;pim_catalog_number;0;1;;;
top_values;top_values;top_values;Top values;;;;;;;;marketing;0;;;;;;;;;0;16;pim_catalog_textarea;0;1;;;
certification_label;cretification_label;certification_label;Label;;;;;;;;marketing;0;;;;;;;;;0;20;pim_catalog_textarea;0;1;;;
ingredients_origin;ingredients_origin;ingredients_origin;Origine ingrédient principal;;;;;;;;marketing;0;;;;;;;;;0;21;pim_catalog_text;0;1;;;
made_in_country;made_in_country;made_in_country;Origine fabrication;;;;;;;;marketing;0;;;;;;;;;0;22;pim_catalog_text;0;1;;;
is_bio;is_bio;is_bio;Certification bio;;;;;;;;marketing;0;;;;;;;;;0;26;pim_catalog_boolean;0;1;;;
variant_weight_unit;variant_weight_unit;variant_weight_unit;Variant Weight Unit;;;;;;1;KILOGRAM;logistics;0;;;Weight;;0;;;;0;8;pim_catalog_metric;0;1;;;
image1;image1;image1;Image 1;;;;;;;;marketing;0;;;;;;;;;0;31;pim_catalog_image;0;1;;;
image2;image2;image2;Image 2;;;;;;;;marketing;0;;;;;;;;;0;32;pim_catalog_image;0;1;;;
image3;image3;image3;Image 3;;;;;;;;marketing;0;;;;;;;;;0;33;pim_catalog_image;0;1;;;
metafields_global_title_tag;metafields_global_title_tag;metafields_global_title_tag;Meta titre;;;;;;;;marketing;0;;;;;;;;;0;27;pim_catalog_text;0;1;;;
metafields_global_description_tag;metafields_global_description_tag;metafields_global_description_tag;Meta description;;;;;;;;marketing;0;;;;;;;;;0;28;pim_catalog_text;0;1;;;
published_at;published_at;published_at;Publié le;;;;;;;;marketing;0;;;;;;;;;0;38;pim_catalog_date;0;1;;;
inventory_quantity;inventory_quantity;inventory_quantity;Quantité;;;;;;0;;logistics;0;;;;;0;;;;0;39;pim_catalog_number;0;1;;;
